24568, 27913, 9, 0, 25420, 22487, 58, 0
27911, 27941, 5, 0, 24951, 28567, 28, 0
27913, 27886, 11, 0, 24568, 24951, 16, 0
28567, 27911, 34, 0, 22487, 27886, 40, 0
27941, 28567, 15, 0, 25420, 27913, 38, 0
25420, 24568, 14, 0, 27911, 24951, 53, 0
27886, 24568, 21, 0, 27941, 22487, 60, 0
25420, 27911, 34, 0, 27886, 27941, 14, 0
22487, 28567, 46, 0, 24951, 27913, 11, 0
27913, 27941, 17, 0, 27911, 27886, 45, 0
28567, 25420, 3, 0, 24568, 22487, 59, 0
24951, 25420, 13, 0, 27913, 27911, 25, 0
27886, 24951, 39, 0, 28567, 24568, 24, 0
22487, 24951, 70, 0, 27941, 25420, 10, 0
