21014, 21135, 26, 0, 20982, 27897, 18, 0
25044, 27906, 32, 0, 28537, 22663, 15, 0
20981, 21013, 12, 0, 22486, 27894, 22, 0
27906, 28537, 16, 0, 21014, 20982, 29, 0
20981, 27897, 9, 0, 22663, 21013, 14, 0
25044, 22486, 100, 0, 21135, 27894, 50, 0
27906, 27897, 9, 0, 28537, 20981, 19, 0
27894, 22663, 14, 0, 22486, 20982, 63, 0
25044, 21135, 35, 0, 21013, 21014, 13, 0
20982, 28537, 17, 0, 22486, 20981, 83, 0
27897, 21014, 30, 0, 27894, 25044, 31, 0
21135, 21013, 15, 0, 22663, 27906, 21, 0
20982, 20981, 35, 0, 27897, 25044, 28, 0
22663, 22486, 45, 0, 27906, 21014, 12, 0
21013, 27894, 30, 0, 21135, 28537, 41, 0
