24569, 27896, 10, 0, 25011, 27892, 59, 0
27900, 22456, 4, 0, 23877, 24739, 15, 0
28573, 27916, 9, 0, 24715, 22457, 12, 0
22456, 28544, 38, 0, 28536, 24569, 85, 0
27916, 24739, 16, 0, 27892, 28573, 35, 0
28544, 22457, 42, 0, 27896, 27900, 15, 0
25011, 24715, 43, 0, 28536, 23877, 92, 0
27900, 27892, 40, 0, 27916, 22456, 33, 0
24739, 25011, 38, 0, 28544, 24715, 21, 0
23877, 27896, 23, 0, 28573, 24569, 9, 0
28536, 25011, 128, 0, 22457, 27916, 8, 0
22456, 24715, 43, 0, 27896, 28544, 23, 0
27892, 28536, 88, 0, 28573, 27900, 11, 0
23877, 24569, 42, 0, 22457, 24739, 23, 0
22456, 28573, 6, 0, 27900, 25011, 40, 0
27916, 28536, 94, 0, 24739, 27896, 29, 0
22457, 23877, 17, 0, 28544, 27892, 33, 0
24569, 27900, 58, 0, 24715, 27916, 31, 0
