28908, 27901, 26, 0, 27888, 28310, 10, 0
22593, 24639, 20, 0, 27892, 27883, 46, 0
26587, 28578, 68, 0, 28434, 28537, 43, 0
28534, 27896, 76, 0, 24325, 24720, 48, 0
25062, 21194, 39, 0, 28556, 27890, 40, 0
28315, 24650, 88, 0, 25056, 24951, 27, 0
25044, 28435, 87, 0, 28557, 20981, 86, 0
28562, 27882, 52, 0, 27877, 19280, 170, 0
24720, 28556, 36, 0, 28578, 28310, 69, 0
27883, 28315, 54, 0, 28534, 21194, 70, 0
25056, 28537, 39, 0, 27896, 28557, 40, 0
20981, 27890, 74, 0, 27882, 24639, 25, 0
27877, 28908, 33, 0, 22593, 24951, 12, 0
27901, 28562, 66, 0, 25044, 28434, 81, 0
27892, 24325, 74, 0, 28435, 26587, 81, 0
24650, 27888, 94, 0, 25062, 19280, 157, 0
27890, 28315, 20, 0, 28578, 27896, 103, 0
24639, 24951, 36, 0, 24720, 25044, 107, 0
28310, 27883, 79, 0, 28435, 28537, 11, 0
27901, 22593, 11, 0, 26587, 25062, 87, 0
28534, 27892, 29, 0, 27888, 27882, 8, 0
21194, 28557, 52, 0, 24650, 28562, 75, 0
19280, 20981, 129, 0, 24325, 28908, 69, 0
28434, 25056, 38, 0, 28556, 27877, 45, 0
28537, 28534, 81, 0, 27890, 22593, 18, 0
28562, 27896, 116, 0, 28310, 27892, 41, 0
25062, 24720, 61, 0, 20981, 28315, 80, 0
24951, 28578, 93, 0, 27888, 24325, 67, 0
27877, 28435, 41, 0, 21194, 27901, 37, 0
27882, 28434, 79, 0, 28908, 24650, 60, 0
26587, 28557, 106, 0, 24639, 28556, 28, 0
19280, 25044, 123, 0, 27883, 25056, 163, 0
24951, 28435, 34, 0, 28562, 25062, 108, 0
21194, 22593, 25, 0, 28578, 27882, 101, 0
20981, 27888, 69, 0, 27896, 26587, 80, 0
28537, 28556, 75, 0, 28315, 25044, 93, 0
28434, 28310, 57, 0, 19280, 28534, 87, 0
25056, 24639, 22, 0, 27901, 24325, 72, 0
28557, 24720, 35, 0, 28908, 27883, 137, 0
24650, 27877, 100, 0, 27890, 27892, 43, 0
