28533|21194|24|24|27917|21007|56|16
25416|28564|64|49|21116|31750|13|13
27919|22706|56|41|32928|25416|60|55
22706|21007|37|22|27919|28564|65|50
27917|21194|35|25|31750|32928|33|18
21116|32928|50|45|28533|31750|58|13
28533|27917|67|22|22706|25416|66|51
21194|21007|107|27|27919|21116|21|16
28564|22706|48|28|21194|21116|27|27
31750|25416|53|53|21007|28533|34|34
32928|27919|32|32|27917|28564|33|33
21007|21116|13|13|32928|27917|131|31
25416|28533|174|54|28564|21194|45|45
31750|27919|17|17|22706|28533|102|72
