28310|20981|45|10|28575|27907|46|46
28312|28582|16|11|32408|27897|21|21
33005|28310|22|12|31119|24716|42|22
28575|28312|49|44|27897|33005|56|21
27907|24716|35|15|28582|32408|70|10
31119|28582|74|24|20981|28575|86|76
28312|27897|68|23|27907|28310|18|18
33005|31119|30|30|20981|32408|54|39
24716|28575|71|66|28312|27907|18|18
24716|27897|36|36|20981|31119|56|56
32408|33005|12|7|28310|28582|39|14
31119|27907|27|12|33005|28312|23|18
32408|24716|15|15|27897|28575|73|73
28582|20981|55|35|28310|28312|15|10
