22593|24720|49|34|28539|27903|28|28
25056|32930|38|18|32981|28540|20|20
28579|28372|39|39|28571|27882|24|24
25056|28539|20|5|28576|27903|19|19
22593|28540|18|18|27882|28579|43|33
28576|32981|21|21|24720|28571|36|16
27882|28372|53|53|32930|28539|24|24
28540|28576|19|19|28571|22593|90|45
24720|32930|39|24|25056|28579|123|18
27903|28540|27|27|32981|28372|74|49
28571|28576|62|17|32930|27882|33|33
28372|24720|77|42|22593|25056|23|23
27903|32981|37|27|28579|28539|26|21
28540|27882|31|31|24720|25056|15|5
27903|22593|62|62|32930|28571|33|18
28579|32981|19|19|28372|28576|52|52
28539|28571|34|19|28540|25056|34|14
