27904|33009|89|39|28309|30630|132|107
26587|25151|21|21|21207|21206|21|21
10939|25436|54|49|28434|15469|68|58
28435|26587|47|22|33009|28309|138|43
25436|28434|35|30|27904|21206|89|24
25151|30630|111|101|10939|28435|119|74
33009|15469|147|122|28434|21207|43|28
26587|28309|17|17|30630|25436|116|106
15469|27904|120|115|25151|28435|33|13
21206|10939|71|71|21207|33009|102|57
28309|28434|33|28|15469|25151|159|114
25436|21207|27|27|30630|28435|132|122
26587|21206|67|42|10939|27904|34|34
25151|33009|67|52|15469|25436|112|112
28435|28434|58|28|30630|26587|107|92
21207|10939|66|51|28309|27904|42|37
21206|30630|67|67|26587|15469|159|154
