27935|32987|100|85|19282|27890|16|11
27873|27884|21|21|27942|21002|0|0
19279|31029|25|5|24639|28320|40|25
25429|19280|106|86|19281|27902|32|17
19284|19279|36|31|24499|27874|47|42
21002|28320|39|39|32987|25429|133|108
27902|19284|103|63|19282|27873|55|40
27890|24499|56|31|24639|19281|92|17
27874|27884|55|45|19280|27935|14|14
27942|25429|122|112|31029|19282|29|19
27902|24499|58|38|28320|27884|26|11
27935|19281|59|39|19279|27942|36|21
21002|19280|34|34|27890|19284|44|29
32987|24639|119|99|27873|27874|54|39
31029|27935|65|40|27902|21002|42|37
27884|24639|52|37|19284|25429|140|110
19279|27890|15|15|31029|27873|14|14
27874|19282|34|29|28320|19281|33|33
24499|32987|113|93|19280|27942|36|36
28320|31029|57|27|19281|19284|44|29
27884|27902|48|48|32987|19279|85|80
25429|27873|118|103|27935|24499|57|57
21002|19282|23|3|19280|24639|114|49
27942|27874|84|59|27890|27902|72|47
