24650|20995|49|34|33017|25023|96|96
32407|20993|49|19|21126|32411|96|21
33682|27880|35|35|27885|20993|58|58
32411|25023|76|26|21126|33682|39|9
27880|24650|48|48|20995|32407|39|24
33017|21126|82|62|27885|20995|77|77
25023|27880|70|25|33017|32411|84|79
33682|27885|85|80|32407|24650|24|24
20993|32411|20|15|24650|27885|52|52
20995|33017|117|102|20993|33682|27|27
25023|21126|45|45|27880|32407|37|22
24650|33682|54|54|27880|21126|14|14
25023|32407|52|37|20993|33017|92|87
32411|27885|66|61|20995|25023|61|61
