28309, 21206, 11, 0, 27874, 21207, 12, 0
28434, 28562, 13, 0, 27904, 25151, 27, 0
27884, 21207, 40, 0, 28434, 28532, 38, 0
28309, 27874, 14, 0, 28562, 27904, 48, 0
21206, 28532, 72, 0, 27884, 25151, 34, 0
21207, 21206, 23, 0, 28562, 28309, 59, 0
25151, 27874, 25, 0, 27884, 28434, 38, 0
27904, 28309, 41, 0, 28532, 27884, 67, 0
21207, 25151, 38, 0, 27874, 27904, 54, 0
28562, 28532, 76, 0, 21206, 28434, 30, 0
27904, 27884, 34, 0, 21206, 28562, 57, 0
25151, 28434, 61, 0, 21207, 28309, 29, 0
28532, 21207, 99, 0, 27874, 28562, 72, 0
