28579, 28559, 2, 0, 28539, 27882, 16, 0
24720, 28576, 14, 0, 19259, 27939, 24, 0
22593, 28540, 5, 0, 24408, 27903, 6, 0
25056, 21170, 20, 0, 28372, 24696, 18, 0
24408, 28571, 15, 0, 28539, 27939, 21, 0
25056, 24720, 37, 0, 27903, 27882, 15, 0
28559, 28372, 9, 0, 28576, 28540, 15, 0
24696, 28579, 4, 0, 28571, 22593, 2, 0
19259, 28539, 20, 0, 21170, 27903, 13, 0
28372, 24408, 18, 0, 28571, 28559, 0, 0
28540, 28579, 0, 0, 19259, 24720, 20, 0
27939, 22593, 31, 0, 27882, 21170, 13, 0
24696, 25056, 25, 0, 28576, 28539, 32, 0
27939, 27903, 34, 0, 28579, 28372, 14, 0
28559, 19259, 20, 0, 22593, 25056, 46, 0
27882, 24696, 30, 0, 28540, 24408, 12, 0
21170, 28576, 38, 0, 24720, 28571, 27, 0
27903, 19259, 10, 0, 24696, 28559, 7, 0
28571, 27939, 32, 0, 25056, 28540, 26, 0
28372, 28539, 31, 0, 24720, 22593, 28, 0
21170, 24408, 14, 0, 28576, 28579, 22, 0
27882, 28571, 13, 0, 28372, 19259, 25, 0
