27885, 27880, 57, 0, 25023, 25062, 11, 0
20993, 20995, 55, 0, 21126, 27876, 8, 0
24650, 28310, 47, 0, 28318, 28577, 24, 0
25062, 27912, 12, 0, 28673, 28582, 19, 0
20995, 28310, 29, 0, 25023, 27880, 16, 0
28318, 24650, 95, 0, 27876, 20993, 26, 0
28577, 27885, 64, 0, 21126, 27912, 12, 0
28310, 28673, 22, 0, 20993, 28582, 49, 0
21126, 25023, 19, 0, 27912, 24650, 58, 0
28673, 28318, 27, 0, 27885, 20995, 78, 0
27876, 28577, 51, 0, 27880, 28582, 49, 0
25062, 21126, 13, 0, 28310, 28318, 32, 0
27876, 28673, 13, 0, 28577, 25023, 72, 0
28582, 27885, 43, 0, 20995, 24650, 31, 0
27880, 25062, 28, 0, 27912, 20993, 40, 0
28582, 25023, 23, 0, 21126, 28318, 31, 0
27912, 27885, 39, 0, 28310, 27876, 34, 0
20993, 25062, 43, 0, 28577, 20995, 83, 0
24650, 21126, 19, 0, 28673, 27880, 29, 0
