27701|44.852|10.942|13.913|Enigma Phoenix - John Masefield High School|GBDUQ
26370|33.105|17.591|26.339|Llanishen High School - RTX&Llanishen High School|GBDUQ
34228|32.667|17.85|18.677|Frome Community College|GBDUQ
27700|26.754|10.321|5.748|CTRL+ALT+DEFEAT - John Masefield High School|GBDUQ
20992|19.737|1.751|6.787|Berkeley Robotics - Raytheon UK & SGS Berkeley Green UTC|GBDUQ
32113|16.815|22.68|-3.998|Prior Park College - Prior Park|GBDUQ
28578|14.413|17.147|-22.599|Botonauts - St John's Marlborough|GBDUQ
31120|2.952|3.761|-50.369|Churchdown School|GBDUQ
32965|2.776|11.329|-22.647|OSB Robots|GBDUQ
32937|-5.48|4.127|-46.084|Autobots Assemble|GBDUQ
25413|35.878|38.183|27.582|Industria - Fettes College|GBEDQ
28557|29.244|16.112|14.049|MuirTech - Boroughmuir High School|GBEDQ
28556|24.598|23.774|9.481|Photoelectric - Boroughmuir High School|GBEDQ
25357|14.089|13.306|-3.54|P4F Robotics - Family/Community|GBEDQ
28436|12.624|15.355|-6.808|Tynecastle - Tynecastle High School|GBEDQ
27877|12.588|4.821|-11.958|CtrlC - Dunfermline High School|GBEDQ
25417|11.074|11.993|-6.102|The Hussars - Garnock Community Campus|GBEDQ
28314|5.499|8.406|-8.066|Tech Titans - Wester Hailes High School|GBEDQ
27922|-1.933|-3.152|-12.53|Robokirk - The Datakirk|GBEDQ
24908|41.603|28.992|25.689|Quarry Robotics - Calderstones School|GBLIQ
33012|34.203|24.592|16.089|1V Scouts|GBLIQ
32991|31.736|38.792|-9.378|UTC Warrington|GBLIQ
21024|31.536|9.592|9.289|Calderdrones - Calderstones School|GBLIQ
28908|23.936|11.992|12.489|Technically Wired - UTC Warrington|GBLIQ
32414|19.736|8.792|-10.178|R2 Developments|GBLIQ
27888|-2.958|2.875|-36.667|Ryecroft Robotics - IGUS/Manchester Metropolitan University&Laurus Ryecroft|GBLIQ
25429|89.472|75.128|72.132|Westminster 1 - Westminster School|GBLOQ1
32987|67.993|62.547|57.387|SBU6 Robotics|GBLOQ1
24639|58.124|24.461|22.055|Kraken - SPGS Parents' Guild&St Paul's Girls' School|GBLOQ1
27902|41.055|29.376|0.455|Robotics Creed - London Academy of Excellence|GBLOQ1
19284|40.178|28.438|17.006|Mobius - American School in London|GBLOQ1
27874|36.882|27.502|22.607|Team SRS - The Sydney Russell School|GBLOQ1
27935|28.577|25.885|-2.444|LFCG Team - Lycée Français Charles de Gaulle|GBLOQ1
24499|28.26|21.498|-8.646|RLS Robotics - The Royal Liberty School|GBLOQ1
27942|24.341|20.303|-12.928|Westminster 2 - Westminster School|GBLOQ1
31029|21.283|6.05|4.47|Velectrix|GBLOQ1
19280|19.787|13.665|-2.187|Phoenix - The American School in London|GBLOQ1
27873|19.343|18.407|-9.937|Wetherby Senior School - Wetherby Senior School|GBLOQ1
28320|18.111|17.777|-12.042|Precision - The Amersham School|GBLOQ1
27890|15.191|8.202|-11.777|Subnautics - UST&The St Marylebone School|GBLOQ1
19281|14.791|1.813|-10.806|Koda - American School in London|GBLOQ1
19282|11.95|7.388|-57.896|Nexus - American School in London|GBLOQ1
27884|5.697|8.896|-23.628|QuantumBots - Wapping High School|GBLOQ1
19279|5.603|5.292|-13.031|Suboshbai - American School in London|GBLOQ1
21002|4.551|4.898|-30.88|Team Gerald - The American School in London|GBLOQ1
24565|26.556|10.853|10.589|OrionX - London Academy of Excellence Tottenham|GBLOQ2
32875|23.583|8.633|10.569|Tech_Through_West|GBLOQ2
34022|21.053|5.529|18.907|Excelsior Mini Robotics|GBLOQ2
25288|16.621|6.956|-2.994|TEA TEAM - The Petchey Academy|GBLOQ2
28321|15.716|13.037|2.443|Orion Alpha - London Academy of Excellence Tottenham|GBLOQ2
25430|13.176|6.522|6.697|Astro Bytes - Woolwich Polytechnic School for Girls|GBLOQ2
33016|10.976|10.322|-4.703|CacheCrew|GBLOQ2
32936|10.591|1.662|-0.807|Electro Evolve|GBLOQ2
