team|opr|no_foul|ccwm|name
24908|41.603|28.992|25.689|Quarry Robotics - Calderstones School
33012|34.203|24.592|16.089|1V Scouts
32991|31.736|38.792|-9.378|UTC Warrington
21024|31.536|9.592|9.289|Calderdrones - Calderstones School
28908|23.936|11.992|12.489|Technically Wired - UTC Warrington
32414|19.736|8.792|-10.178|R2 Developments
27888|-2.958|2.875|-36.667|Ryecroft Robotics - IGUS/Manchester Metropolitan University&Laurus Ryecroft
