team,opr,no_foul,ccwm,name
19265,44.107,22.321,30.964,Tenby Techno Team - Ysgol Greenhill
34023,28.107,12.571,6.714,Sentinel
30663,19.911,11.295,-0.616,Roballtics - Cardiff Sixth Form College
34024,13.661,7.545,-16.616,Emlyn Electronics - Ysgol Gyfun Emlyn
25059,10.161,5.295,-29.116,The D-Code - Lewis Girls' School
28315,9.411,5.795,1.134,BroBots - Ysgol Bro Taf
