team|opr|no_foul|ccwm|name
27921|46.071|24.286|46.0|Low Voltage - Harlaw Academy
31748|22.732|13.804|0.813|Gearheads
32924|16.482|6.304|4.813|Quantum Crew
27923|7.482|11.054|-11.937|Slice and Dyce - Dyce Academy
32986|2.732|2.554|-7.188|Pitlochry Pirates
32938|-3.429|-0.214|-34.75|BODA
