team|opr|no_foul|ccwm|name
25413|35.878|38.183|27.582|Industria - Fettes College
28557|29.244|16.112|14.049|MuirTech - Boroughmuir High School
28556|24.598|23.774|9.481|Photoelectric - Boroughmuir High School
25357|14.089|13.306|-3.54|P4F Robotics - Family/Community
28436|12.624|15.355|-6.808|Tynecastle - Tynecastle High School
27877|12.588|4.821|-11.958|CtrlC - Dunfermline High School
25417|11.074|11.993|-6.102|The Hussars - Garnock Community Campus
28314|5.499|8.406|-8.066|Tech Titans - Wester Hailes High School
27922|-1.933|-3.152|-12.53|Robokirk - The Datakirk
